ENT,DTTO FED,DTTO LOC,CVE,NOMBRE DE MUNICIPIO,SECCIÓN,CVE,TIPO DE SECCIÓN
7,8,21,106,Venustiano Carranza,1786,2,Urbana
7,8,21,106,Venustiano Carranza,1787,2,Urbana
7,8,21,106,Venustiano Carranza,1788,2,Urbana
7,8,21,106,Venustiano Carranza,1789,2,Urbana
7,8,21,106,Venustiano Carranza,1790,2,Urbana
7,8,21,106,Venustiano Carranza,1791,2,Urbana
7,8,21,106,Venustiano Carranza,1792,2,Urbana
7,8,21,106,Venustiano Carranza,1793,3,Mixta
7,8,21,106,Venustiano Carranza,1794,4,Rural
7,8,21,106,Venustiano Carranza,1795,4,Rural
7,8,21,106,Venustiano Carranza,1796,4,Rural
7,8,21,106,Venustiano Carranza,1797,3,Mixta
7,8,21,106,Venustiano Carranza,1798,3,Mixta
7,8,21,106,Venustiano Carranza,1799,3,Mixta
7,8,21,106,Venustiano Carranza,1800,3,Mixta
7,8,21,106,Venustiano Carranza,1801,2,Urbana
7,8,21,106,Venustiano Carranza,1802,3,Mixta
7,8,21,106,Venustiano Carranza,1803,4,Rural
7,8,21,106,Venustiano Carranza,1804,4,Rural
7,8,21,106,Venustiano Carranza,1805,4,Rural
7,8,21,106,Venustiano Carranza,1806,2,Urbana
7,8,21,106,Venustiano Carranza,1807,3,Mixta
7,8,21,106,Venustiano Carranza,1808,4,Rural
7,8,21,106,Venustiano Carranza,1809,4,Rural
7,8,21,106,Venustiano Carranza,1810,4,Rural
7,8,21,106,Venustiano Carranza,1811,4,Rural
7,5,22,23,Chamula,336,2,Urbana
7,5,22,23,Chamula,337,2,Urbana
7,5,22,23,Chamula,338,4,Rural
7,5,22,23,Chamula,339,4,Rural
7,5,22,23,Chamula,340,4,Rural
7,5,22,23,Chamula,341,4,Rural
7,5,22,23,Chamula,342,4,Rural
7,5,22,23,Chamula,343,4,Rural
7,5,22,23,Chamula,344,4,Rural
7,5,22,23,Chamula,345,4,Rural
7,5,22,23,Chamula,346,4,Rural
7,5,22,23,Chamula,347,4,Rural
7,5,22,23,Chamula,348,4,Rural
7,5,22,23,Chamula,349,4,Rural
7,5,22,23,Chamula,350,4,Rural
7,5,22,23,Chamula,351,4,Rural
7,5,22,23,Chamula,352,4,Rural
7,5,22,23,Chamula,353,4,Rural
7,5,22,23,Chamula,354,4,Rural
7,5,22,23,Chamula,355,4,Rural
7,5,22,23,Chamula,356,4,Rural
7,5,22,23,Chamula,357,4,Rural
7,5,22,23,Chamula,359,4,Rural
7,5,22,23,Chamula,360,4,Rural
7,5,22,23,Chamula,361,4,Rural
7,5,22,23,Chamula,362,4,Rural
7,5,22,23,Chamula,363,4,Rural
7,5,22,23,Chamula,364,4,Rural
7,5,22,23,Chamula,365,4,Rural
7,5,22,23,Chamula,366,4,Rural
7,5,22,23,Chamula,367,4,Rural
7,5,22,23,Chamula,368,4,Rural
7,5,22,23,Chamula,369,4,Rural
7,5,22,23,Chamula,370,4,Rural
7,5,22,23,Chamula,371,4,Rural
7,5,22,23,Chamula,372,4,Rural
7,5,22,23,Chamula,373,4,Rural
7,5,22,23,Chamula,374,4,Rural
7,5,22,23,Chamula,2091,4,Rural
7,5,22,23,Chamula,2092,4,Rural
7,5,22,23,Chamula,2093,4,Rural
7,2,22,56,Mitontic,782,3,Mixta
7,2,22,56,Mitontic,783,4,Rural
7,2,22,56,Mitontic,784,4,Rural
7,2,22,56,Mitontic,785,4,Rural
7,2,22,56,Mitontic,786,4,Rural
7,5,22,94,Tenejapa,1438,2,Urbana
7,5,22,94,Tenejapa,1439,4,Rural
7,5,22,94,Tenejapa,1440,4,Rural
7,5,22,94,Tenejapa,1441,4,Rural
7,5,22,94,Tenejapa,1442,4,Rural
7,5,22,94,Tenejapa,1443,4,Rural
7,5,22,94,Tenejapa,1444,4,Rural
7,5,22,94,Tenejapa,1445,4,Rural
7,5,22,94,Tenejapa,1446,4,Rural
7,5,22,94,Tenejapa,1447,4,Rural
7,5,22,94,Tenejapa,1448,4,Rural
7,5,22,94,Tenejapa,1449,4,Rural
7,5,22,94,Tenejapa,1450,4,Rural
7,5,22,94,Tenejapa,1451,4,Rural
7,5,22,94,Tenejapa,1452,4,Rural
7,5,22,94,Tenejapa,1453,4,Rural
7,5,22,111,Zinacantán,1915,2,Urbana
7,5,22,111,Zinacantán,1916,2,Urbana
7,5,22,111,Zinacantán,1917,4,Rural
7,5,22,111,Zinacantán,1918,4,Rural
7,5,22,111,Zinacantán,1919,4,Rural
7,5,22,111,Zinacantán,1920,4,Rural
7,5,22,111,Zinacantán,1921,4,Rural
7,5,22,111,Zinacantán,1922,3,Mixta
7,5,22,111,Zinacantán,1923,2,Urbana
7,5,22,111,Zinacantán,1924,4,Rural
7,5,22,111,Zinacantán,1925,4,Rural
7,5,22,111,Zinacantán,1926,4,Rural
7,5,22,111,Zinacantán,1927,4,Rural
7,5,22,111,Zinacantán,1928,4,Rural
7,5,22,111,Zinacantán,1929,4,Rural
7,10,23,20,La Concordia,293,3,Mixta
7,10,23,20,La Concordia,294,3,Mixta
7,10,23,20,La Concordia,295,3,Mixta
7,10,23,20,La Concordia,296,2,Urbana
7,10,23,20,La Concordia,297,4,Rural
7,10,23,20,La Concordia,298,4,Rural
7,10,23,20,La Concordia,299,4,Rural
7,10,23,20,La Concordia,300,4,Rural
7,10,23,20,La Concordia,301,4,Rural
7,10,23,20,La Concordia,302,3,Mixta
7,10,23,20,La Concordia,303,3,Mixta
7,10,23,20,La Concordia,304,4,Rural
7,10,23,20,La Concordia,305,4,Rural
7,10,23,20,La Concordia,306,4,Rural
7,10,23,20,La Concordia,307,4,Rural
7,10,23,20,La Concordia,308,4,Rural
7,10,23,20,La Concordia,309,4,Rural
7,10,23,20,La Concordia,310,4,Rural
7,10,23,20,La Concordia,311,4,Rural
7,10,23,20,La Concordia,312,4,Rural
7,10,23,20,La Concordia,313,4,Rural
7,10,23,20,La Concordia,314,4,Rural
7,10,23,20,La Concordia,315,4,Rural
7,10,23,20,La Concordia,316,4,Rural
7,10,23,108,Villa Corzo,1828,3,Mixta
7,10,23,108,Villa Corzo,1829,3,Mixta
7,10,23,108,Villa Corzo,1830,3,Mixta
7,10,23,108,Villa Corzo,1831,3,Mixta
7,10,23,108,Villa Corzo,1836,4,Rural
7,10,23,108,Villa Corzo,1838,4,Rural
7,10,23,108,Villa Corzo,1839,3,Mixta
7,10,23,108,Villa Corzo,1840,3,Mixta
7,10,23,108,Villa Corzo,1841,3,Mixta
7,10,23,108,Villa Corzo,1842,4,Rural
7,10,23,108,Villa Corzo,1843,3,Mixta
7,10,23,108,Villa Corzo,1844,4,Rural
7,10,23,108,Villa Corzo,1846,4,Rural
7,10,23,108,Villa Corzo,1847,4,Rural
7,10,23,108,Villa Corzo,1848,3,Mixta
7,10,23,108,Villa Corzo,1849,2,Urbana
7,10,23,108,Villa Corzo,1850,3,Mixta
7,10,23,108,Villa Corzo,1851,4,Rural
7,10,23,108,Villa Corzo,1852,4,Rural
7,10,23,108,Villa Corzo,1853,4,Rural
7,10,23,108,Villa Corzo,1854,4,Rural
7,10,23,108,Villa Corzo,1855,4,Rural
7,10,23,108,Villa Corzo,2133,4,Rural
7,10,23,108,Villa Corzo,2134,3,Mixta
7,10,23,109,Villaflores,1856,3,Mixta
7,10,23,109,Villaflores,1857,2,Urbana
7,10,23,109,Villaflores,1858,3,Mixta
7,10,23,109,Villaflores,1859,2,Urbana
7,10,23,109,Villaflores,1860,2,Urbana
7,10,23,109,Villaflores,1861,2,Urbana
7,10,23,109,Villaflores,1862,2,Urbana
7,10,23,109,Villaflores,1863,3,Mixta
7,10,23,109,Villaflores,1864,2,Urbana
7,10,23,109,Villaflores,1865,2,Urbana
7,10,23,109,Villaflores,1866,3,Mixta
7,10,23,109,Villaflores,1867,2,Urbana
7,10,23,109,Villaflores,1868,2,Urbana
7,10,23,109,Villaflores,1869,2,Urbana
7,10,23,109,Villaflores,1870,2,Urbana
7,10,23,109,Villaflores,1871,2,Urbana
7,10,23,109,Villaflores,1872,3,Mixta
7,10,23,109,Villaflores,1873,4,Rural
7,10,23,109,Villaflores,1874,4,Rural
7,10,23,109,Villaflores,1875,4,Rural
7,10,23,109,Villaflores,1876,4,Rural
7,10,23,109,Villaflores,1877,2,Urbana
7,10,23,109,Villaflores,1878,3,Mixta
7,10,23,109,Villaflores,1879,2,Urbana
7,10,23,109,Villaflores,1880,4,Rural
7,10,23,109,Villaflores,1881,3,Mixta
7,10,23,109,Villaflores,1882,2,Urbana
7,10,23,109,Villaflores,1883,3,Mixta
7,10,23,109,Villaflores,1884,3,Mixta
7,10,23,109,Villaflores,1885,2,Urbana
7,10,23,109,Villaflores,1886,2,Urbana
7,10,23,109,Villaflores,1887,4,Rural
7,10,23,109,Villaflores,1888,4,Rural
7,10,23,109,Villaflores,1889,4,Rural
7,10,23,109,Villaflores,1890,4,Rural
7,10,23,109,Villaflores,1891,4,Rural
7,10,23,109,Villaflores,1892,4,Rural
7,10,23,109,Villaflores,1893,3,Mixta
7,10,23,109,Villaflores,1894,4,Rural
7,10,23,109,Villaflores,1895,4,Rural
7,10,23,109,Villaflores,1896,4,Rural
7,10,23,109,Villaflores,1897,4,Rural
7,10,23,109,Villaflores,1898,4,Rural
7,10,23,109,Villaflores,1899,4,Rural
7,10,23,109,Villaflores,1900,4,Rural
7,10,23,109,Villaflores,1901,2,Urbana
7,10,23,121,El Parral,1832,3,Mixta
7,10,23,121,El Parral,1833,2,Urbana
7,10,23,121,El Parral,1834,3,Mixta
7,10,23,121,El Parral,1835,3,Mixta
7,10,23,121,El Parral,1837,4,Rural
7,3,24,31,Chilón,456,2,Urbana
7,3,24,31,Chilón,457,2,Urbana
7,3,24,31,Chilón,458,4,Rural
7,3,24,31,Chilón,459,4,Rural
7,3,24,31,Chilón,460,4,Rural
7,3,24,31,Chilón,461,4,Rural
7,3,24,31,Chilón,463,4,Rural
7,3,24,31,Chilón,464,4,Rural
7,3,24,31,Chilón,465,4,Rural
7,3,24,31,Chilón,466,4,Rural
7,3,24,31,Chilón,467,4,Rural
7,3,24,31,Chilón,468,4,Rural
7,3,24,31,Chilón,469,4,Rural
7,3,24,31,Chilón,470,4,Rural
7,3,24,31,Chilón,472,4,Rural
7,3,24,31,Chilón,473,4,Rural
7,3,24,31,Chilón,474,4,Rural
7,3,24,31,Chilón,475,4,Rural
7,3,24,31,Chilón,476,4,Rural
7,3,24,31,Chilón,477,4,Rural
7,3,24,31,Chilón,479,4,Rural
7,3,24,31,Chilón,480,4,Rural
7,3,24,31,Chilón,483,4,Rural
7,3,24,31,Chilón,484,2,Urbana
7,3,24,31,Chilón,485,2,Urbana
7,3,24,31,Chilón,487,4,Rural
7,3,24,31,Chilón,488,4,Rural
7,3,24,31,Chilón,2059,4,Rural
7,3,24,31,Chilón,2060,4,Rural
7,3,24,31,Chilón,2061,4,Rural
7,3,24,31,Chilón,2062,4,Rural
7,3,24,31,Chilón,2063,4,Rural
7,3,24,31,Chilón,2064,4,Rural
7,3,24,31,Chilón,2065,4,Rural
7,3,24,31,Chilón,2066,4,Rural
7,3,24,31,Chilón,2067,4,Rural
7,3,24,31,Chilón,2068,4,Rural
7,3,24,31,Chilón,2069,4,Rural
7,3,24,31,Chilón,2070,4,Rural
7,3,24,31,Chilón,2071,4,Rural
7,3,24,31,Chilón,2072,4,Rural
7,3,24,31,Chilón,2073,4,Rural
7,3,24,31,Chilón,2074,4,Rural
7,3,24,31,Chilón,2075,4,Rural
7,3,24,59,Ocosingo,821,4,Rural
7,3,24,59,Ocosingo,822,4,Rural
7,3,24,59,Ocosingo,823,4,Rural
7,3,24,59,Ocosingo,824,4,Rural
7,3,24,59,Ocosingo,825,4,Rural
7,3,24,59,Ocosingo,829,4,Rural
7,3,24,59,Ocosingo,830,4,Rural
7,3,24,59,Ocosingo,836,4,Rural
7,3,24,59,Ocosingo,837,4,Rural
7,3,24,59,Ocosingo,838,4,Rural
7,3,24,59,Ocosingo,839,2,Urbana
7,3,24,59,Ocosingo,840,4,Rural
7,3,24,59,Ocosingo,843,4,Rural
7,5,24,79,San Juan Cancuc,1178,2,Urbana
7,5,24,79,San Juan Cancuc,1179,2,Urbana
7,5,24,79,San Juan Cancuc,1181,4,Rural
7,5,24,79,San Juan Cancuc,1182,4,Rural
7,5,24,79,San Juan Cancuc,1183,4,Rural
7,5,24,79,San Juan Cancuc,1184,4,Rural
7,5,24,79,San Juan Cancuc,1186,4,Rural
7,5,24,79,San Juan Cancuc,2099,4,Rural
7,5,24,79,San Juan Cancuc,2100,4,Rural
7,5,24,79,San Juan Cancuc,2101,4,Rural
7,5,24,79,San Juan Cancuc,2102,4,Rural
7,5,24,79,San Juan Cancuc,2103,4,Rural
7,3,24,83,Sitalá,1222,3,Mixta
7,3,24,83,Sitalá,1223,4,Rural
7,3,24,83,Sitalá,1224,4,Rural
7,3,24,83,Sitalá,1225,4,Rural
